DT_REFER;DENOM_CIA;ESCALA_MOEDA;ORDEM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.06;Passivos sobre Ativos NàCorrentes a Venda e Descontinuados;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.06;Passivos sobre Ativos NàCorrentes a Venda e Descontinuados;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.06.01;Passivos sobre Ativos NàCorrentes a Venda;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.06.01;Passivos sobre Ativos NàCorrentes a Venda;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.06.02;Passivos sobre Ativos de Operaes Descontinuadas;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.06.02;Passivos sobre Ativos de Operaes Descontinuadas;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07;Patrimzo Luido Consolidado;2115171.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07;Patrimzo Luido Consolidado;2489668.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01;Patrimzo Luido Atribu/ ao Controlador;1941867.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01;Patrimzo Luido Atribu/ ao Controlador;2489668.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.01;Capital Social Realizado;1300000.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.01;Capital Social Realizado;1466322.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.02;Reservas de Capital;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.02;Reservas de Capital;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.02.01;gio na Emissàde Aes;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.02.01;gio na Emissàde Aes;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.02.02;Reserva Especial de gio na Incorporaï;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.02.02;Reserva Especial de gio na Incorporaï;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.02.03;Alienaï de B{s de Subscriï;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.02.03;Alienaï de B{s de Subscriï;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.02.04;Opes Outorgadas;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.02.04;Opes Outorgadas;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.02.05;Aes em Tesouraria;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.02.05;Aes em Tesouraria;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.03;Reservas de Reavaliaï;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.03;Reservas de Reavaliaï;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04;Reservas de Lucros;842763.0000000000
